WARD,BIA,DAYS SERVICED,ASSET TYPE,STATUS
10,Toronto Downtown West,7,WR2,Existing
14,Leslieville,7,WR2,Existing
08,York-Eglinton,5,WR1,Temporarily Removed
11,Downtown Yonge,7,WR4,Existing
10,Financial District,7,WR4,Temporarily Removed
13,Financial District,7,WR4,Existing
13,St. Lawrence Market Neighbourhood,7,WR1,Temporarily Removed
10,Financial District,7,WR4,Existing
10,Financial District,7,WR4,Existing
13,Financial District,7,WR4,Existing
10,Queen Street West,7,WR2,Existing
03,The Kingsway,7,WR4,Existing
12,Yonge & St. Clair,5,WR2,Existing
18,Willowdale,4,WR2,Existing
06,DuKe Heights,5,WR1,Existing
05,Lawrence Ingram Keele,5,WR1,Existing
14,Pape Village,7,WR1,Existing
14,Pape Village,7,WR1,Existing
14,Broadview Danforth,7,WR1,Temporarily Removed
14,Danforth Mosaic,7,WR2,Existing
04,Roncesvalles Village,5,WR1,Existing
05,Rogers Road,5,WR1,Existing
04,Roncesvalles Village,5,WR2,Existing
04,Roncesvalles Village,5,WR2,Existing
04,Roncesvalles Village,5,WR2,Existing
04,Roncesvalles Village,5,WR2,Existing
04,Roncesvalles Village,5,WR1,Existing
14,Broadview Danforth,7,WR2,Temporarily Removed
10,St. Lawrence Market Neighbourhood,7,WR1,Existing
19,The Beach,7,WR4,Existing
19,The Beach,7,WR4,Existing
10,St. Lawrence Market Neighbourhood,7,WR1,Existing
03,Shop The Queensway,5,WR2,Existing
03,Village of Islington,5,WR1,Existing
03,The Kingsway,7,WR1,Existing
19,Danforth Mosaic,7,WR1,Existing
13,Cabbagetown,5,WR4,Existing
19,The Beach,7,WR4,Existing
11,Rosedale Main Street,7,WR4,Existing
03,Shop The Queensway,5,WR1,Existing
03,The Kingsway,7,WR2,Existing
03,The Kingsway,7,WR2,Existing
03,The Kingsway,7,WR1,Existing
03,The Kingsway,7,WR1,Temporarily Removed
03,The Kingsway,7,WR1,Existing
03,Village of Islington,3,WR2,Existing
03,Village of Islington,5,WR2,Existing
03,Village of Islington,5,WR2,Existing
03,Village of Islington,5,WR2,Existing
03,Village of Islington,5,WR2,Existing
03,Village of Islington,5,WR2,Existing
03,Village of Islington,1,WR2,Existing
03,Village of Islington,1,WR2,Existing
06,DuKe Heights,5,WR2,Existing
03,Village of Islington,1,WR2,Existing
21,Kennedy Road,3,WR2,Existing
09,Little Portugal,7,WR2,Existing
03,Lakeshore Village,7,WR4,Temporarily Removed
06,Wilson Village,5,WR2,Existing
06,Wilson Village,5,WR2,Existing
18,Willowdale,7,WR2,Existing
18,Willowdale,7,WR2,Existing
15,Bayview Leaside,5,WR4,Existing
15,Bayview Leaside,5,WR4,Existing
23,Sheppard East Village,3,WR2,Existing
13,St. Lawrence Market Neighbourhood,7,WR4,Existing
19,The Beach,7,WR4,Existing
12,Oakwood Village,5,WR1,Existing
21,Kennedy Road,3,WR4,Existing
19,The Beach,7,WR1,Existing
19,The Beach,5,WR2,Existing
18,Willowdale,7,WR2,Existing
01,Albion Islington Square,5,WR2,Existing
03,Lakeshore Village,7,WR4,Existing
03,Lakeshore Village,7,WR4,Existing
09,Corso Italia,5,WR2,Existing
09,Regal Heights Village,5,WR2,Existing
07,Emery Village,5,WR1,Existing
06,DuKe Heights,5,WR2,Existing
23,Sheppard East Village,3,WR2,Existing
20,Crossroads of the Danforth,7,WR2,Existing
07,Emery Village,3,WR1,Existing
18,Willowdale,7,WR1,Existing
18,Willowdale,4,WR1,Existing
18,Willowdale,7,WR2,Existing
15,Uptown Yonge,7,WR1,Existing
06,DuKe Heights,5,WR2,Existing
10,Ossington Avenue,7,WR4,Existing
10,Liberty Village,7,WR2,Existing
05,Mount Dennis,5,WR1,Existing
07,DuKe Heights,5,WR2,Existing
08,Yonge Lawrence Village,7,WR1,Existing
08,Uptown Yonge,7,WR2,Existing
08,Uptown Yonge,7,WR2,Existing
11,Bloor Annex,7,WR4,Existing
09,Little Portugal,5,WR2,Existing
19,The Beach,7,WR4,Existing
19,The Beach,7,WR4,Existing
13,Financial District,7,WR3,Existing
11,Chinatown,7,WR2,Existing
