"","key","DAYS.SERVICED","ASSET.TYPE","STATUS","Minors","Adult","Middle_Age_Adult","Senior_Adult","Low_Density_Housing","Medium_Density_Housing","High_Density_Housing","Other_Types","Small_Households","Medium_Households","Large_Households"
"52","Ward20",3,"WR1","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"53","Ward21",3,"WR2","Existing",23405,32600,29470,26075,14640,6810,19050,55,21370,13785,5415
"54","Ward13",5,"WR4","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"55","Ward13",7,"WR3","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"56","Ward20",3,"WR2","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"57","Ward21",3,"WR2","Temporarily Removed",23405,32600,29470,26075,14640,6810,19050,55,21370,13785,5415
"58","Ward13",7,"WR1","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"59","Ward13",7,"WR4","Temporarily Removed",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"60","Ward13",7,"WR1","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"61","Ward13",5,"WR1","Temporarily Removed",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"62","Ward23",3,"WR2","Temporarily Removed",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"63","Ward21",3,"WR1","Temporarily Removed",23405,32600,29470,26075,14640,6810,19050,55,21370,13785,5415
"64","Ward22",3,"WR2","Temporarily Removed",18225,27650,26680,31140,12440,6055,19765,80,20760,12885,4700
"65","Ward23",3,"WR2","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"66","Ward25",4,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"67","Ward23",3,"WR2","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"68","Ward23",3,"WR2","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"69","Ward11",7,"WR2","Existing",12470,43375,23180,23365,7770,3925,41400,410,42160,9645,1700
"70","Ward14",7,"WR1","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"71","Ward19",7,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"72","Ward19",7,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"73","Ward14",7,"WR2","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"74","Ward20",3,"WR1","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"75","Ward14",7,"WR1","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"76","Ward14",7,"WR2","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"77","Ward20",3,"WR1","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"78","Ward20",3,"WR2","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"79","Ward20",3,"WR1","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"80","Ward11",7,"WR1","Temporarily Removed",12470,43375,23180,23365,7770,3925,41400,410,42160,9645,1700
"81","Ward13",7,"WR4","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"82","Ward19",7,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"83","Ward13",5,"WR2","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"84","Ward19",7,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"85","Ward19",3,"WR2","Temporarily Removed",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"86","Ward19",3,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"87","Ward19",3,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"88","Ward19",3,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"89","Ward19",3,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"90","Ward19",5,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"91","Ward14",7,"WR2","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"92","Ward14",5,"WR1","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"93","Ward14",7,"WR2","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"94","Ward14",7,"WR2","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"95","Ward14",7,"WR1","Existing",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"96","Ward19",7,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"97","Ward14",7,"WR2","Temporarily Removed",20385,30005,31810,22360,17945,5395,22690,200,30595,13110,2535
"98","Ward8",5,"WR2","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"99","Ward8",5,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"100","Ward8",5,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"101","Ward8",5,"WR2","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"102","Ward9",5,"WR1","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"103","Ward9",5,"WR1","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"104","Ward16",4,"WR2","Existing",19805,25495,25545,23490,7570,3095,27580,40,23035,11755,3490
"105","Ward3",5,"WR2","Existing",23620,44935,38605,32760,19950,3840,41745,35,46340,16385,2850
"106","Ward3",5,"WR1","Existing",23620,44935,38605,32760,19950,3840,41745,35,46340,16385,2850
"107","Ward3",5,"WR1","Existing",23620,44935,38605,32760,19950,3840,41745,35,46340,16385,2850
"108","Ward7",5,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"109","Ward7",5,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"110","Ward7",1,"WR1","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"111","Ward6",5,"WR2","Temporarily Removed",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"112","Ward6",5,"WR2","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
